mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.27821011543273927,0.13494734929323587,0.01225452423095703,0.005037407198364245,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.2718995622593905,0.28366482515378966,0.1820582040118084,0.25225123710371167,0.07188083474016504,0.21235093265377306,0.07857893186222763,26
0.560527753829956,0.18798704516373635,0.03508467674255371,0.03166455140108317,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.29416976529894734,0.27899794678229417,0.17516703513039056,0.22736115860668704,0.07340738083385867,0.20982065733043553,0.08002173968632156,34
0.6692482471466065,0.17148453167534133,0.023263883590698243,0.004441036693680308,5,1,2,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.28615718930245115,0.2823196865670955,0.16804289191865074,0.2243613632181879,0.06178564688305965,0.204533355577889,0.08344432357366337,45
0.20875024795532227,0.030144133133909852,0.011727285385131837,0.004315617977139193,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.27292637134889497,0.2906771834860983,0.18403275461634339,0.2487048107790275,0.06761585572991013,0.21279139519205487,0.08108659748759789,24
0.45093564987182616,0.025687997481745564,0.01975693702697754,0.006423006814581673,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.29586445583621757,0.2820120316553838,0.17736206862451842,0.22061104475973814,0.07573463671418357,0.2103168475180083,0.07970313937489977,31
0.622192668914795,0.03006997086550066,0.022558021545410156,0.0029628920028205207,5,1,5,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.2890720053003595,0.2842503937084354,0.16848752772865982,0.2185170972200443,0.06373872837344552,0.2048131504661889,0.08344959176005234,44
0.21164851188659667,0.031683116491533755,0.010037040710449219,0.0014466985761271446,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.2814885723051235,0.28690495456892173,0.17963048441910134,0.2549843098192386,0.06523384049981107,0.21364843232243924,0.08350038234449171,23
0.5418995380401611,0.0795243270155246,0.031830978393554685,0.016669939928779267,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.2972917684775982,0.2853675931930537,0.18131831007073107,0.22669303106976235,0.07266497434416841,0.21266713543106275,0.08151903432451196,25
0.798381757736206,0.043558711758353144,0.03412818908691406,0.0071451633843437196,5,1,10,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",0.29278661355187297,0.28584059441433474,0.172940382463875,0.22198421919011535,0.0640521276653071,0.207520787457101,0.08413382776373228,43
0.29242901802062987,0.04700588291699362,0.009934616088867188,0.0006579512805124994,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.2880365279829563,0.29366272466395205,0.17515838341535228,0.25965592990919883,0.07086665730843233,0.2174760446559784,0.08467281930967946,14
0.47539548873901366,0.013912332201482969,0.016666698455810546,0.004076986818600025,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.30343859827276476,0.2909486714153622,0.17852077083989137,0.23188627801016837,0.0757911078223511,0.21611708527210755,0.08316049923270664,19
0.9150204181671142,0.11158719266614262,0.03125286102294922,0.007066994171640051,5,2,2,150,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.2965413851193671,0.2930933108923701,0.17215547938929698,0.23026080457633002,0.0668190096672141,0.21177399792891566,0.0856990994645652,28
0.23324809074401856,0.01106653492126113,0.013912057876586914,0.007354262939169857,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.2853528713853474,0.29497076996726046,0.17407152757255673,0.2611368696674541,0.07051378957916488,0.21720916563435672,0.08485336068424051,15
0.5685133457183837,0.025253073848280433,0.021299982070922853,0.007771730234415451,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.3026072526343402,0.2893675907446267,0.17935762164518498,0.232642183694998,0.07759758917168247,0.21631444757816648,0.08204630239915536,18
0.696714973449707,0.07825956676256379,0.03182687759399414,0.016149583600345824,5,2,5,150,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.2968523194084143,0.29183350015116327,0.1723326835692539,0.23072786055948968,0.06755889172589646,0.2118610510828435,0.08527680790785895,27
0.27800674438476564,0.0485723561021142,0.02650618553161621,0.02238942412951558,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.2952181421309802,0.301951526071063,0.18401962577038866,0.2598964584126394,0.06978839701208484,0.22217482987943127,0.0869482748555295,10
