feature,importance
Glucose,0.5111774556779363
BMI,0.16107763047560653
Age,0.10569798651525182
DiabetesPedigreeFunction,0.10143215397373394
Pregnancies,0.03986356853406529
BloodPressure,0.028917239958719677
SkinThickness,0.026860394730093648
Insulin,0.024973570134592882
